white,black,result,utc_date_time,time_control
bulletplay,aquatica,1-0,2013-01-01 07:34:12,0+1
patan2003,eldorado,1-0,2013-01-01 07:34:21,420+3
eldorado,patan2003,0-1,2013-01-01 07:36:45,420+3
aquatica,bulletplay,0-1,2013-01-01 07:37:24,0+1
johnua,arun,0-1,2013-01-01 07:35:16,60+10
gez,richard_xii,1/2-1/2,2013-01-01 07:37:34,300+1
garlic,namesnik,1-0,2013-01-01 07:39:07,0+1
aquatica,richard_xii,1-0,2013-01-01 07:39:22,120+0
daredevil,msusngi,1-0,2013-01-01 07:40:27,900+10
sakrat,namesnik,1-0,2013-01-01 07:40:42,180+3
ars72,atomicangel,1-0,2013-01-01 07:41:28,180+0
namesnik,naitero_nagasaki,0-1,2013-01-01 07:42:14,180+2
nikz,lancer,1-0,2013-01-01 07:42:39,420+7
patan2003,eldorado,1-0,2013-01-01 07:43:22,420+3
aquatica,ddj,0-1,2013-01-01 07:43:57,120+2
parsh,akayhan,0-1,2013-01-01 07:44:29,300+5
ddj,kinner,0-1,2013-01-01 07:44:36,120+2
jakethedog,_viper_,0-1,2013-01-01 07:47:38,120+2
sakrat,naitero_nagasaki,0-1,2013-01-01 07:50:05,180+3
kinner,ddj,1-0,2013-01-01 07:51:05,120+2
bulletplay,namesnik,0-1,2013-01-01 07:52:38,0+1
msusngi,daredevil,0-1,2013-01-01 07:51:51,900+10
bulletplay,namesnik,1-0,2013-01-01 07:53:25,0+1
eldorado,patan2003,0-1,2013-01-01 07:54:29,420+3
ddj,kinner,0-1,2013-01-01 07:55:51,120+2
bulletplay,namesnik,0-1,2013-01-01 07:56:45,0+1
akayhan,leon_gambetta,1-0,2013-01-01 07:56:25,900+0
stepan9,marzinkus,0-1,2013-01-01 07:58:06,300+15
nikz,yurday,0-1,2013-01-01 07:57:24,420+7
_viper_,naitero_nagasaki,0-1,2013-01-01 07:57:52,60+2
bulletplay,namesnik,1-0,2013-01-01 07:59:06,0+1
hooman,namesnik,0-1,2013-01-01 08:01:09,300+0
sakrat,crazy2013,1-0,2013-01-01 08:02:45,180+3
kinner,ddj,0-1,2013-01-01 08:03:28,120+2
bulletplay,ptdhina,0-1,2013-01-01 08:03:46,0+1
spaces,ff4,1-0,2013-01-01 08:04:12,300+10
naitero_nagasaki,_viper_,1-0,2013-01-01 08:04:14,60+2
patan2003,eldorado,1-0,2013-01-01 08:04:19,420+3
jsalemal-55,ukwildcats,1-0,2013-01-01 08:05:27,900+12
garlic,ptdhina,1-0,2013-01-01 08:05:36,0+1
eldorado,patan2003,1-0,2013-01-01 08:05:49,420+3
ddj,kinner,0-1,2013-01-01 08:06:01,120+2
namesnik,hooman,1-0,2013-01-01 08:06:27,300+0
bulletplay,ptdhina,1-0,2013-01-01 08:07:16,0+1
_viper_,naitero_nagasaki,1-0,2013-01-01 08:08:34,60+2
bulletplay,ptdhina,1-0,2013-01-01 08:09:07,0+1
krakowiaczek46,msmcssm,0-1,2013-01-01 08:09:25,600+3
hooman,jtkjtkful,0-1,2013-01-01 08:10:12,300+0
daredevil,thomasbrent,1-0,2013-01-01 08:10:45,900+10
bulletplay,ptdhina,1-0,2013-01-01 08:10:51,0+1
naitero_nagasaki,_viper_,1-0,2013-01-01 08:11:35,60+2
prime1st,mihasah,0-1,2013-01-01 08:12:03,300+6
metrolog,bravery,0-1,2013-01-01 08:06:48,1800+30
kinner,ddj,1-0,2013-01-01 08:12:07,120+2
bulletplay,ptdhina,0-1,2013-01-01 08:15:53,0+1
dipankar,ale226571,1-0,2013-01-01 08:17:16,300+3
_viper_,atomicangel,0-1,2013-01-01 08:17:33,180+0
bulletplay,ptdhina,1-0,2013-01-01 08:18:14,0+1
salamandra,coldest,1-0,2013-01-01 08:18:58,360+0
ddj,kinner,1/2-1/2,2013-01-01 08:19:04,120+2
bulletplay,ptdhina,1-0,2013-01-01 08:20:08,0+1
daredevil,metrolog,1-0,2013-01-01 08:20:52,900+10
patan2003,eldorado,0-1,2013-01-01 08:21:54,420+3
yurday,spaces,1-0,2013-01-01 08:22:00,300+8
bulletplay,ptdhina,1-0,2013-01-01 08:22:11,0+1
lalara,fuck_you,0-1,2013-01-01 08:23:02,180+0
garlic,ptdhina,1-0,2013-01-01 08:23:19,0+1
nikz,mihasah,0-1,2013-01-01 08:22:51,420+7
akayhan,naitero_nagasaki,1-0,2013-01-01 08:23:37,180+2
coldest,salamandra,1-0,2013-01-01 08:24:12,360+0
spaces,delaza62,0-1,2013-01-01 08:19:50,480+5
ale226571,dipankar,1-0,2013-01-01 08:24:14,300+3
maklaud695,atomicangel,0-1,2013-01-01 08:26:22,180+0
traker100,ptdhina,1-0,2013-01-01 08:26:51,240+0
dipankar,ale226571,0-1,2013-01-01 08:27:15,300+3
maklaud695,naitero_nagasaki,0-1,2013-01-01 08:29:32,180+2
jsalemal-55,famcaliap,1-0,2013-01-01 08:30:28,900+12
r4y5t3r,h4rdy,0-1,2013-01-01 08:30:42,-
kinner,ddj,1-0,2013-01-01 08:30:42,120+2
traker100,akayhan,1-0,2013-01-01 08:32:17,240+0
mihasah,nikz,1-0,2013-01-01 08:33:04,300+5
ale226571,dipankar,1-0,2013-01-01 08:34:35,300+3
lalara,2013_january,1-0,2013-01-01 08:36:13,180+0
metrolog,andrandand,1-0,2013-01-01 08:35:36,180+15
arabika2,n_farhang,0-1,2013-01-01 08:38:53,1200+0
k074,flatron1,1-0,2013-01-01 08:37:28,300+1
dipankar,ale226571,0-1,2013-01-01 08:39:43,300+3
akayhan,maklaud695,1-0,2013-01-01 08:40:50,240+1
marzinkus,troepianiz,0-1,2013-01-01 08:27:50,300+8
ale226571,dipankar,1-0,2013-01-01 08:41:51,300+3
2013_january,xiaoqiao,0-1,2013-01-01 08:43:19,60+0
msmcssm,famcaliap,1/2-1/2,2013-01-01 08:42:26,600+12
salamandra,flatron1,0-1,2013-01-01 08:45:37,360+0
messsi,maklaud695,1-0,2013-01-01 08:45:37,240+1
2013_january,akayhan,1-0,2013-01-01 08:45:55,300+20
h4rdy,r4y5t3r,0-1,2013-01-01 08:46:26,-
0987654321,ff4,0-1,2013-01-01 08:47:27,600+8
ff4,norb,1-0,2013-01-01 08:50:58,480+8
ddj,kinner,0-1,2013-01-01 08:47:26,300+8
leon_gambetta,inis,0-1,2013-01-01 08:51:02,900+0
traker100,flatron1,1-0,2013-01-01 08:53:01,240+0
masterstheven,cipri4,1-0,2013-01-01 08:53:37,180+0
ukwildcats,2013_january,1-0,2013-01-01 08:53:44,480+10
antonio7,marzinkus,0-1,2013-01-01 08:56:24,660+6
masterstheven,maklaud695,0-1,2013-01-01 08:57:14,180+0
dipankar,ale226571,1-0,2013-01-01 08:57:35,300+3
svetlana,andrandand,1-0,2013-01-01 08:58:06,420+3
kinner,ddj,0-1,2013-01-01 08:58:11,300+8
mihasah,terracota,1/2-1/2,2013-01-01 08:58:34,300+5
arbequina,famcaliap,1-0,2013-01-01 08:59:21,600+5
cirilek,flatron1,0-1,2013-01-01 09:00:43,300+1
maklaud695,masterstheven,0-1,2013-01-01 09:01:04,240+1
voltvolf,naitero_nagasaki,0-1,2013-01-01 09:03:27,300+0
cipri4,atomicangel,0-1,2013-01-01 09:04:32,180+0
esesoyyo,victor001,1-0,2013-01-01 09:03:40,300+5
nikz,amisa,0-1,2013-01-01 09:04:43,420+7
mihasah,norb,1-0,2013-01-01 09:06:38,480+8
last-soldier,maslick,0-1,2013-01-01 09:07:15,300+3
hooman,patan2003,1-0,2013-01-01 09:08:07,300+0
0987654321,jmen,0-1,2013-01-01 09:08:37,1740+30
terracota,marzinkus,0-1,2013-01-01 09:10:04,480+5
cipri4,atomicangel,1-0,2013-01-01 09:11:33,180+0
voltvolf,cirilek,1-0,2013-01-01 09:11:58,420+3
aquatica,sayantan,0-1,2013-01-01 09:12:04,180+0
arabika2,eldorado,1-0,2013-01-01 09:12:49,1200+0
norb,mihasah,0-1,2013-01-01 09:13:03,480+8
dipankar,metrolog,0-1,2013-01-01 09:14:17,300+3
aquatica,sayantan,1/2-1/2,2013-01-01 09:15:06,180+0
jsalemal-55,andrandand,1-0,2013-01-01 09:17:10,900+12
traker100,sempes,1-0,2013-01-01 09:15:53,240+0
patan2003,good_good,0-1,2013-01-01 09:17:36,300+12
lalara,aquatica,1-0,2013-01-01 09:10:06,180+0
