white,black,result,utc_date_time,time_control
krieg,t4nk,0-1,2013-01-01 00:00:52,60+1
schutzstaffel,batalha,1-0,2013-01-01 00:07:03,60+0
cheesedout,legendary_erfan,1-0,2013-01-01 00:01:23,60+0
schutzstaffel,etewut,1-0,2013-01-01 00:01:28,60+0
joecasatro,t4nk,0-1,2013-01-01 00:01:34,0+1
peter2,vanillashamanilla,1-0,2013-01-01 00:02:03,480+0
j-jorjik,6wx,1-0,2013-01-01 00:02:51,480+8
tiggran,rasmussenesq,1-0,2013-01-01 00:03:20,300+0
legendary_erfan,cheesedout,0-1,2013-01-01 00:03:59,60+0
schutzstaffel,batalha,1-0,2013-01-01 00:03:42,60+0
krieg,chess345,0-1,2013-01-01 00:05:10,60+1
kyklades,mariss,1-0,2013-01-01 00:06:11,240+0
batalha,t4nk,0-1,2013-01-01 00:05:51,0+1
fifthcategory,chinokoli,0-1,2013-01-01 00:06:13,180+0
cheesedout,legendary_erfan,1-0,2013-01-01 00:06:13,60+0
papachaco,metrolog,1-0,2013-01-01 00:06:14,300+0
dipo_a,marzinkus,1-0,2013-01-01 00:06:44,360+6
namesnik,t4nk,0-1,2013-01-01 00:07:21,0+1
schutzstaffel,hephesto,1-0,2013-01-01 00:09:24,60+0
airtsart,chess345,1/2-1/2,2013-01-01 00:07:33,180+0
zanella,neuronchess,1-0,2013-01-01 00:07:53,480+0
djarfur,blizz,1-0,2013-01-01 00:08:05,300+0
twokings,adrnlnnjectd,0-1,2013-01-01 00:08:08,720+0
peter2,maroz,1-0,2013-01-01 00:08:20,480+0
legendary_erfan,cheesedout,0-1,2013-01-01 00:08:34,60+0
desmond_wilson,sig,0-1,2013-01-01 00:09:13,420+9
namesnik,t4nk,1/2-1/2,2013-01-01 00:08:35,0+1
danut68,serge,1-0,2013-01-01 00:14:42,300+0
fifthcategory,chinokoli,0-1,2013-01-01 00:10:21,180+0
cheesedout,legendary_erfan,1-0,2013-01-01 00:10:52,60+0
batalha,tiggran,0-1,2013-01-01 00:10:58,120+0
schutzstaffel,t4nk,1-0,2013-01-01 00:11:21,60+0
vadi,marzinkus,0-1,2013-01-01 00:12:08,480+8
shlomo,namesnik,1-0,2013-01-01 00:12:32,120+0
legendary_erfan,cheesedout,0-1,2013-01-01 00:12:41,60+0
beibus,troepianiz,1-0,2013-01-01 00:13:26,300+8
nichiren1967,barriosgb2,0-1,2013-01-01 00:13:36,60+1
schutzstaffel,t4nk,1-0,2013-01-01 00:14:05,60+0
chess345,bcj,1-0,2013-01-01 00:14:18,300+0
schutzstaffel,t4nk,1-0,2013-01-01 00:15:01,60+0
papachaco,metrolog,1-0,2013-01-01 00:15:18,300+0
gez,jtkjtkful,1-0,2013-01-01 00:16:21,300+1
namesnik,kyklades,1-0,2013-01-01 00:16:37,240+0
tiggran,georgek,1-0,2013-01-01 00:13:03,300+0
batalha,jlfs,0-1,2013-01-01 00:13:36,120+0
schutzstaffel,t4nk,1-0,2013-01-01 00:17:32,60+0
cheesedout,nichiren1967,1-0,2013-01-01 00:17:41,60+0
fifthcategory,chinokoli,0-1,2013-01-01 00:17:50,180+0
legendary_erfan,chess345,0-1,2013-01-01 00:17:51,60+0
jesse,jlfs,0-1,2013-01-01 00:18:23,120+0
gez,jtkjtkful,1-0,2013-01-01 00:19:03,300+1
legendary_erfan,chess345,0-1,2013-01-01 00:19:40,60+0
nichiren1967,cheesedout,0-1,2013-01-01 00:19:44,60+0
schutzstaffel,t4nk,1-0,2013-01-01 00:19:50,60+0
schutzstaffel,t4nk,1-0,2013-01-01 00:20:41,60+0
chess345,barriosgb2,1-0,2013-01-01 00:20:52,120+0
legendary_erfan,hephesto,0-1,2013-01-01 00:20:58,60+0
cheesedout,nichiren1967,1-0,2013-01-01 00:20:58,60+0
schutzstaffel,t4nk,1-0,2013-01-01 00:21:08,60+0
fifthcategory,chinokoli,0-1,2013-01-01 00:21:23,180+0
gez,marco0019,1-0,2013-01-01 00:21:24,300+1
schutzstaffel,joecasatro,1-0,2013-01-01 00:21:43,60+0
shlomo,t4nk,1-0,2013-01-01 00:21:39,0+1
legendary_erfan,mariss,0-1,2013-01-01 00:15:38,60+0
krieg,namesnik,1-0,2013-01-01 00:22:05,60+1
shlomo,t4nk,1-0,2013-01-01 00:22:11,0+1
georgek,jlfs,1-0,2013-01-01 00:22:41,120+0
shlomo,t4nk,1-0,2013-01-01 00:23:06,0+1
nichiren1967,cheesedout,0-1,2013-01-01 00:23:26,60+0
schutzstaffel,legendary_erfan,1-0,2013-01-01 00:23:50,60+0
tiggran,serge,1-0,2013-01-01 00:24:12,300+0
hephesto,t4nk,1-0,2013-01-01 00:24:17,0+1
batalha,shlomo,0-1,2013-01-01 00:24:19,120+0
danut68,kyklades,0-1,2013-01-01 00:24:39,240+0
schutzstaffel,namesnik,1-0,2013-01-01 00:25:17,60+0
krieg,t4nk,1-0,2013-01-01 00:25:26,0+1
legendary_erfan,hephesto,0-1,2013-01-01 00:26:05,60+0
rasmussenesq,metrolog,1-0,2013-01-01 00:26:06,120+2
krieg,t4nk,1-0,2013-01-01 00:26:13,0+1
cheesedout,nichiren1967,1-0,2013-01-01 00:26:38,60+0
papachaco,namesnik,0-1,2013-01-01 00:26:40,300+0
schutzstaffel,krieg,1-0,2013-01-01 00:27:12,60+0
batalha,t4nk,1-0,2013-01-01 00:27:49,0+1
krieg,t4nk,1-0,2013-01-01 00:28:29,0+1
georgek,neuronchess,0-1,2013-01-01 00:28:35,480+0
schutzstaffel,shlomo,1/2-1/2,2013-01-01 00:28:36,60+0
nichiren1967,cheesedout,0-1,2013-01-01 00:28:51,60+0
hephesto,legendary_erfan,1-0,2013-01-01 00:28:53,60+0
